author,comment,likes,published_at,updated_at
@aharis3488,"anda berpikir polisi kita layaknya nya film-film box Office?
ohhh tidak begitu perguso, yg penting mereka kerja, udah tua pensiun dapet pensiunan udah itu aja... apa itu mengabdi untuk bangsa...
UU tambrak, Etik bodo amat..",0,2025-10-10T03:29:47Z,2025-10-10T03:30:10Z
@rickosareng,no system safe,0,2025-10-10T03:25:36Z,2025-10-10T03:25:36Z
@NoFaceId-g7i,"Cuma percaya , kalau bawahan buruk ! Pasti yg atas lebih buruk 😅 masak lupa kalau yg jatoh di lubang yg sama itu cuma Binatang 😂🤣

Toh udh gk heran kalau instansi yg ono, real culture indo ""PELAWAK""",0,2025-10-10T03:20:04Z,2025-10-10T03:20:04Z
@vialovvu,"Bjorka ayo buka data aliran dana pimpinan, anggota DPRI ditunggu😅",0,2025-10-10T03:15:24Z,2025-10-10T03:15:24Z
@ariesaji2703,Mau orang mana lagi yg di jadiin korban salah tangkap?,0,2025-10-10T03:14:45Z,2025-10-10T03:14:45Z
@tns1910,bjorka ada di slh satu penonton ini,0,2025-10-10T03:04:44Z,2025-10-10T03:04:44Z
@agustiansembiring6814,memang bener ikan busuk dimulai dari kepalanya,0,2025-10-10T03:01:16Z,2025-10-10T03:01:16Z
@Andrea_4784,"Jgn dikasih tau alternatif komunikasi utk menghindari gangguan dr pihak lain om, karena bisa digunakan oleh bbrp pihak buat transaksi narkoba 😂",1,2025-10-10T02:58:21Z,2025-10-10T02:58:21Z
@WibMan,Kalau yang sudah terjadi kan ditangkap biasanya dipaksa ngaku om,0,2025-10-10T02:40:25Z,2025-10-10T02:40:25Z
@MyBy813,Apakah bjorka cuman untuk pengalihan issue?,0,2025-10-10T02:36:30Z,2025-10-10T02:36:30Z
@jinggoarum5875,Sekelas polri dengan dana fantastis masak Ndak bisa nyetak tim cyber yg tangguh...bisanya mereka cuma nyiptakan polisi polisi pungli😂😂😂😂,1,2025-10-10T02:26:05Z,2025-10-10T02:26:05Z
@WindiYudha,"Om ded udah jadiin tim Prabowo aja tuh orang, ketemu nya langsung sama Prabowo,yakin bakal mauu ,",0,2025-10-10T02:25:34Z,2025-10-10T02:25:34Z
@Nanank_arjk,"Hanya 1 polisi yang bener2 berfungsi kinerjanya...








Polisi Tidur.",0,2025-10-10T02:18:47Z,2025-10-10T02:18:47Z
@1881lia,"Mungkin BJORKA ini singkatan nama anggota nya: Bejo, Joni, Oesman, Rudi, Kemal, Agus",0,2025-10-10T02:17:19Z,2025-10-10T02:17:19Z
@bagusirawan2259,Oke...oke...oke...,0,2025-10-10T02:14:46Z,2025-10-10T02:14:46Z
@yusrilaja6779,POLISI NANGKEP BJIRKA😂😂😂😂😂😂😂😂😂😂,2,2025-10-10T02:05:33Z,2025-10-10T02:05:33Z
@TumbalPro,"Memalukan sekali, sekelas polisi negara seperti itu penangananya 😅",0,2025-10-10T02:01:29Z,2025-10-10T02:01:29Z
@ariqqelll13,plost towis nya orang ini brjoka,0,2025-10-10T01:56:52Z,2025-10-10T01:56:52Z
@Duoblehz,Dr pertma rilis w cuma ktawa ajj sampe geli sehebat itukah penyidik polisi😂😂😂😂,0,2025-10-10T01:55:54Z,2025-10-10T01:55:54Z
@bagusbimantoro8008,Polisi bisa apa??  😂😂😂😂,0,2025-10-10T01:55:29Z,2025-10-10T01:55:29Z
@indomiekariayam5436,"Bandar judol yg jelas aja ga kena2,apalagi seorang hacker 🥱",0,2025-10-10T01:52:26Z,2025-10-10T01:52:26Z
@170819801000,"yah...polisi sekarang udah bego, salah nangkep, memalaukan, la ini kasus ijazah juga pada bloon, setahun ndak ada keterangan statusnya",0,2025-10-10T01:51:53Z,2025-10-10T01:51:53Z
@AhmadJunaidi-u7s,"Bjorka itu pahlawan rakyat indonesia krna berani lawan para koruptor dan bocorkan kebusukan tikus berdasi dan aparat, yg ingin nangkap p3nj4h4t berseragam, yg d tangkap org ga salah🥴 ngakak🤣",0,2025-10-10T01:46:42Z,2025-10-10T01:55:56Z
@rudiarjunaidi3789,"sialnya gue pernah pake WhatsAppMode lagi 😂
orang kirim foto 1x / sudah dihapus pun tetep masih bisa diliat 😅",0,2025-10-10T01:46:18Z,2025-10-10T01:46:18Z
@awandaerni7131,Yg ngancem bank kan memang tsk yg ditangkep. Ya bner dia ditangkep wey. Bukan masalah bjorka asli enggaknya.,0,2025-10-10T01:41:29Z,2025-10-10T01:41:29Z
@sbaguss392,Bjorka kaskasan 😂😂😂,0,2025-10-10T01:41:01Z,2025-10-10T01:41:01Z
@marip4600,lucu lucu lucu...itulh lolis india.. 😂,0,2025-10-10T01:41:00Z,2025-10-10T01:41:00Z
@411official17,"Jadi inget dlu pas dalemin hp, internet gratis yt dll",0,2025-10-10T01:37:49Z,2025-10-10T01:37:49Z
