comment,case_folding,cleansing,normalized_reviews,tokenizing,stopwords_removed
"utk kesekian kalinya, jgnkan byroka, kenalpot brong aj gak bisa beresin","utk kesekian kalinya, jgnkan byroka, kenalpot brong aj gak bisa beresin",utk kesekian kalinya jgnkan byroka kenalpot brong aj gak bisa beresin,untuk kesekian kalinya jgnkan byroka kenalpot brong saja enggak bisa beresin,"['untuk', 'kesekian', 'kalinya', 'jgnkan', 'byroka', 'kenalpot', 'brong', 'saja', 'enggak', 'bisa', 'beresin']","['kesekian', 'kalinya', 'jgnkan', 'byroka', 'kenalpot', 'brong', 'beresin']"
Polisi bisa nangkep bjorka... Mana mungkin... Jauh SDM nya... diketawain mah iya sama si bjorka asli....,polisi bisa nangkep bjorka... mana mungkin... jauh sdm nya... diketawain mah iya sama si bjorka asli....,polisi bisa nangkep bjorka mana mungkin jauh sdm nya diketawain mah iya sama si bjorka asli,polisi bisa nangkep bjorka mana mungkin jauh sdm nya diketawain mah iya sama sih bjorka asli,"['polisi', 'bisa', 'nangkep', 'bjorka', 'mana', 'mungkin', 'jauh', 'sdm', 'nya', 'diketawain', 'mah', 'iya', 'sama', 'sih', 'bjorka', 'asli']","['polisi', 'nangkep', 'bjorka', 'sdm', 'nya', 'diketawain', 'mah', 'iya', 'sih', 'bjorka', 'asli']"
Polisi mana bisa suruh kerja 😂😂 kebiasaan malak malak .,polisi mana bisa suruh kerja 😂😂 kebiasaan malak malak .,polisi mana bisa suruh kerja kebiasaan malak malak,polisi mana bisa suruh kerja kebiasaan malak malak,"['polisi', 'mana', 'bisa', 'suruh', 'kerja', 'kebiasaan', 'malak', 'malak']","['polisi', 'suruh', 'kerja', 'kebiasaan', 'malak', 'malak']"
"Ah sudahlah ... Berharap sama pol*si indonesia = berharap indonesia ada musim salju.
Pol*si Indonesia bisa cuma bikin susah rakyat... Apa2 duit.
mereka kita gaji buat jadi pembantu.. bukan malah nyusahin..","ah sudahlah ... berharap sama pol*si indonesia = berharap indonesia ada musim salju.
pol*si indonesia bisa cuma bikin susah rakyat... apa2 duit.
mereka kita gaji buat jadi pembantu.. bukan malah nyusahin..",ah sudahlah berharap sama polsi indonesia berharap indonesia ada musim salju polsi indonesia bisa cuma bikin susah rakyat apa duit mereka kita gaji buat jadi pembantu bukan malah nyusahin,ah sudahlah berharap sama polsi indonesia berharap indonesia ada musim salju polsi indonesia bisa cuma bikin susah rakyat apa duit mereka kita gaji buat jadi pembantu bukan malah menyusahkan,"['ah', 'sudahlah', 'berharap', 'sama', 'polsi', 'indonesia', 'berharap', 'indonesia', 'ada', 'musim', 'salju', 'polsi', 'indonesia', 'bisa', 'cuma', 'bikin', 'susah', 'rakyat', 'apa', 'duit', 'mereka', 'kita', 'gaji', 'buat', 'jadi', 'pembantu', 'bukan', 'malah', 'menyusahkan']","['ah', 'berharap', 'polsi', 'indonesia', 'berharap', 'indonesia', 'musim', 'salju', 'polsi', 'indonesia', 'bikin', 'susah', 'rakyat', 'duit', 'gaji', 'pembantu', 'menyusahkan']"
KONOHA 😂😂😂😂 POLISI DI KADALIN... 😂😂😂,konoha 😂😂😂😂 polisi di kadalin... 😂😂😂,konoha polisi di kadalin,konoha polisi di kadalin,"['konoha', 'polisi', 'di', 'kadalin']","['konoha', 'polisi', 'kadalin']"
"Wa mod adalah jalan ninjaku  dr 2019an mpe 2023an 😂 54:53 .
Bisa liat siapapun yg lg online, bisa liat chat ataupun status yg sudah di delete, bisa baca chat tanpa ketahuan, bisa download status org dll 😂😂😂😂","wa mod adalah jalan ninjaku  dr 2019an mpe 2023an 😂 54:53 .
bisa liat siapapun yg lg online, bisa liat chat ataupun status yg sudah di delete, bisa baca chat tanpa ketahuan, bisa download status org dll 😂😂😂😂",wa mod adalah jalan ninjaku dr an mpe an bisa liat siapapun yg lg online bisa liat chat ataupun status yg sudah di delete bisa baca chat tanpa ketahuan bisa download status org dll,wa mod adalah jalan ninjaku dari an mpe an bisa lihat siapapun yang lagi online bisa lihat chat ataupun status yang sudah di delete bisa baca chat tanpa ketahuan bisa download status orang dll,"['wa', 'mod', 'adalah', 'jalan', 'ninjaku', 'dari', 'an', 'mpe', 'an', 'bisa', 'lihat', 'siapapun', 'yang', 'lagi', 'online', 'bisa', 'lihat', 'chat', 'ataupun', 'status', 'yang', 'sudah', 'di', 'delete', 'bisa', 'baca', 'chat', 'tanpa', 'ketahuan', 'bisa', 'download', 'status', 'orang', 'dll']","['wa', 'mod', 'jalan', 'ninjaku', 'an', 'mpe', 'an', 'lihat', 'online', 'lihat', 'chat', 'status', 'delete', 'baca', 'chat', 'ketahuan', 'download', 'status', 'orang', 'dll']"
oh,oh,oh,oh,['oh'],['oh']
"paling bagus , kerja cepat , langsung ke TKP cuma kepala polisi labrador ges","paling bagus , kerja cepat , langsung ke tkp cuma kepala polisi labrador ges",paling bagus kerja cepat langsung ke tkp cuma kepala polisi labrador ges,paling bagus kerja cepat langsung ke tkp cuma kepala polisi labrador ges,"['paling', 'bagus', 'kerja', 'cepat', 'langsung', 'ke', 'tkp', 'cuma', 'kepala', 'polisi', 'labrador', 'ges']","['bagus', 'kerja', 'cepat', 'langsung', 'tkp', 'kepala', 'polisi', 'labrador', 'ges']"
"Kata2 yg bilang anak autisme beda cara melihat sesuatu. Benar bgt , mereka bisa sedetqil itu. Segigih itu.","kata2 yg bilang anak autisme beda cara melihat sesuatu. benar bgt , mereka bisa sedetqil itu. segigih itu.",kata yg bilang anak autisme beda cara melihat sesuatu benar bgt mereka bisa sedetqil itu segigih itu,kata yang bilang anak autisme beda cara melihat sesuatu benar banget mereka bisa sedetqil itu segigih itu,"['kata', 'yang', 'bilang', 'anak', 'autisme', 'beda', 'cara', 'melihat', 'sesuatu', 'benar', 'banget', 'mereka', 'bisa', 'sedetqil', 'itu', 'segigih', 'itu']","['bilang', 'anak', 'autisme', 'beda', 'banget', 'sedetqil', 'segigih']"
"Intinya jangan berteman dengan Police,bisa jadi akan jadi tuker kepala 🤣","intinya jangan berteman dengan police,bisa jadi akan jadi tuker kepala 🤣",intinya jangan berteman dengan policebisa jadi akan jadi tuker kepala,intinya jangan berteman dengan policebisa jadi akan jadi tuker kepala,"['intinya', 'jangan', 'berteman', 'dengan', 'policebisa', 'jadi', 'akan', 'jadi', 'tuker', 'kepala']","['intinya', 'berteman', 'policebisa', 'tuker', 'kepala']"
