comment,case_folding,cleansing,normalized_reviews,tokenizing,stopwords_removed
"Lupanama ,bukanitu di kepala sya,simpan seluruh tasbih dan alquran","lupanama ,bukanitu di kepala sya,simpan seluruh tasbih dan alquran",lupanama bukanitu di kepala syasimpan seluruh tasbih dan alquran,lupanama bukanitu di kepala syasimpan seluruh tasbih dan alquran,"['lupanama', 'bukanitu', 'di', 'kepala', 'syasimpan', 'seluruh', 'tasbih', 'dan', 'alquran']","['lupanama', 'bukanitu', 'kepala', 'syasimpan', 'tasbih', 'alquran']"
Seketika smua merasa tahu bjorkan😅😅😅😅😅,seketika smua merasa tahu bjorkan😅😅😅😅😅,seketika smua merasa tahu bjorkan,seketika semua merasa tahu bjorkan,"['seketika', 'semua', 'merasa', 'tahu', 'bjorkan']",['bjorkan']
Udah ga gondrong bang,udah ga gondrong bang,udah ga gondrong bang,sudah enggak gondrong bang,"['sudah', 'enggak', 'gondrong', 'bang']","['gondrong', 'bang']"
"ketika gw denger pertama kali gw reflect bilang ""mana ada"", tapi setelah dipikir pikir iya juga ya...","ketika gw denger pertama kali gw reflect bilang ""mana ada"", tapi setelah dipikir pikir iya juga ya...",ketika gw denger pertama kali gw reflect bilang mana ada tapi setelah dipikir pikir iya juga ya,ketika gue dengar pertama kali gue reflect bilang mana ada tapi setelah dipikir pikir iya juga ya,"['ketika', 'gue', 'dengar', 'pertama', 'kali', 'gue', 'reflect', 'bilang', 'mana', 'ada', 'tapi', 'setelah', 'dipikir', 'pikir', 'iya', 'juga', 'ya']","['gue', 'dengar', 'kali', 'gue', 'reflect', 'bilang', 'dipikir', 'pikir', 'iya', 'ya']"
"junkyyy, keliatan  bgt aura pemakai sabu hahha","junkyyy, keliatan  bgt aura pemakai sabu hahha",junkyyy keliatan bgt aura pemakai sabu hahha,junkyyy kelihatan banget aura pemakai sabu hahha,"['junkyyy', 'kelihatan', 'banget', 'aura', 'pemakai', 'sabu', 'hahha']","['junkyyy', 'banget', 'aura', 'pemakai', 'sabu', 'hahha']"
"Dari pada uangnya di update utk keamanan, lebih baik masuk kantong. Mungkin itu yg di otak/pikiran pemerintah! 💩","dari pada uangnya di update utk keamanan, lebih baik masuk kantong. mungkin itu yg di otak/pikiran pemerintah! 💩",dari pada uangnya di update utk keamanan lebih baik masuk kantong mungkin itu yg di otakpikiran pemerintah,dari pada uangnya di update untuk keamanan lebih baik masuk kantong mungkin itu yang di otakpikiran pemerintah,"['dari', 'pada', 'uangnya', 'di', 'update', 'untuk', 'keamanan', 'lebih', 'baik', 'masuk', 'kantong', 'mungkin', 'itu', 'yang', 'di', 'otakpikiran', 'pemerintah']","['uangnya', 'update', 'keamanan', 'masuk', 'kantong', 'otakpikiran', 'pemerintah']"
Faktanya banyak orang yg tidak tau kalo bjorka itu orang dalam pejabat korup🤫,faktanya banyak orang yg tidak tau kalo bjorka itu orang dalam pejabat korup🤫,faktanya banyak orang yg tidak tau kalo bjorka itu orang dalam pejabat korup,faktanya banyak orang yang tidak tau kalo bjorka itu orang dalam pejabat korup,"['faktanya', 'banyak', 'orang', 'yang', 'tidak', 'tau', 'kalo', 'bjorka', 'itu', 'orang', 'dalam', 'pejabat', 'korup']","['faktanya', 'orang', 'tau', 'kalo', 'bjorka', 'orang', 'pejabat', 'korup']"
11:28  iya bener ketahuan saat mau beli mobil sport pake kartu kredit orang luar ....gua di ceritain sama salah satu nya dari kalimantan....emang keren kebetulan mereka sama sama di jogja kuliah,11:28  iya bener ketahuan saat mau beli mobil sport pake kartu kredit orang luar ....gua di ceritain sama salah satu nya dari kalimantan....emang keren kebetulan mereka sama sama di jogja kuliah,iya bener ketahuan saat mau beli mobil sport pake kartu kredit orang luar gua di ceritain sama salah satu nya dari kalimantanemang keren kebetulan mereka sama sama di jogja kuliah,iya benar ketahuan saat mau beli mobil sport pakai kartu kredit orang luar gua di ceritain sama salah satu nya dari kalimantanemang keren kebetulan mereka sama sama di jogja kuliah,"['iya', 'benar', 'ketahuan', 'saat', 'mau', 'beli', 'mobil', 'sport', 'pakai', 'kartu', 'kredit', 'orang', 'luar', 'gua', 'di', 'ceritain', 'sama', 'salah', 'satu', 'nya', 'dari', 'kalimantanemang', 'keren', 'kebetulan', 'mereka', 'sama', 'sama', 'di', 'jogja', 'kuliah']","['iya', 'ketahuan', 'beli', 'mobil', 'sport', 'pakai', 'kartu', 'kredit', 'orang', 'gua', 'ceritain', 'salah', 'nya', 'kalimantanemang', 'keren', 'jogja', 'kuliah']"
Bahas uang palsu yang ditemuin di ATM,bahas uang palsu yang ditemuin di atm,bahas uang palsu yang ditemuin di atm,bahas uang palsu yang ditemuin di atm,"['bahas', 'uang', 'palsu', 'yang', 'ditemuin', 'di', 'atm']","['bahas', 'uang', 'palsu', 'ditemuin', 'atm']"
Om mau tanya gmna cara hubungi White Hack Om. soalnya papa saya kena tipu om 🙏,om mau tanya gmna cara hubungi white hack om. soalnya papa saya kena tipu om 🙏,om mau tanya gmna cara hubungi white hack om soalnya papa saya kena tipu om,om mau tanya bagaimana cara hubungi white hack om soalnya papa saya kena tipu om,"['om', 'mau', 'tanya', 'bagaimana', 'cara', 'hubungi', 'white', 'hack', 'om', 'soalnya', 'papa', 'saya', 'kena', 'tipu', 'om']","['om', 'hubungi', 'white', 'hack', 'om', 'papa', 'kena', 'tipu', 'om']"
Tuan takur jago nangkep maling ayan😂😂😂,tuan takur jago nangkep maling ayan😂😂😂,tuan takur jago nangkep maling ayan,tuan takur jago nangkep maling ayan,"['tuan', 'takur', 'jago', 'nangkep', 'maling', 'ayan']","['tuan', 'takur', 'jago', 'nangkep', 'maling', 'ayan']"
cek di Dark Web.. kak banyak aktor disana,cek di dark web.. kak banyak aktor disana,cek di dark web kak banyak aktor disana,cek di dark web kak banyak aktor disana,"['cek', 'di', 'dark', 'web', 'kak', 'banyak', 'aktor', 'disana']","['cek', 'dark', 'web', 'kak', 'aktor', 'disana']"
"Pak Dedy, undang dr Tifa dunk","pak dedy, undang dr tifa dunk",pak dedy undang dr tifa dunk,pak dedy undang dari tifa dong,"['pak', 'dedy', 'undang', 'dari', 'tifa', 'dong']","['dedy', 'undang', 'tifa']"
"coba bintang tamunya aja yg nyari bjorka dh, gausa aiueo","coba bintang tamunya aja yg nyari bjorka dh, gausa aiueo",coba bintang tamunya aja yg nyari bjorka dh gausa aiueo,coba bintang tamunya saja yang mencari bjorka dah enggak usah aiueo,"['coba', 'bintang', 'tamunya', 'saja', 'yang', 'mencari', 'bjorka', 'dah', 'enggak', 'usah', 'aiueo']","['coba', 'bintang', 'tamunya', 'mencari', 'bjorka', 'dah', 'aiueo']"
"54:51 WA GB dan sejenisnya, gua pernah make bbrp jenis😂

Terakhir make 2021.

Emang bener, kalo orang lain delete message atau delete story itu di kita bisa tetep keliatan tapi ada tandanya udh dihapus, ada settingannya di app nya😂

Goks wa gb 😂 flashback gwe😂","54:51 wa gb dan sejenisnya, gua pernah make bbrp jenis😂

terakhir make 2021.

emang bener, kalo orang lain delete message atau delete story itu di kita bisa tetep keliatan tapi ada tandanya udh dihapus, ada settingannya di app nya😂

goks wa gb 😂 flashback gwe😂",wa gb dan sejenisnya gua pernah make bbrp jenis terakhir make emang bener kalo orang lain delete message atau delete story itu di kita bisa tetep keliatan tapi ada tandanya udh dihapus ada settingannya di app nya goks wa gb flashback gwe,wa gb dan sejenisnya gua pernah memakai beberapa jenis terakhir memakai memang benar kalo orang lain delete message atau delete story itu di kita bisa tetap kelihatan tapi ada tandanya sudah dihapus ada settingannya di app nya goks wa gb flashback gwe,"['wa', 'gb', 'dan', 'sejenisnya', 'gua', 'pernah', 'memakai', 'beberapa', 'jenis', 'terakhir', 'memakai', 'memang', 'benar', 'kalo', 'orang', 'lain', 'delete', 'message', 'atau', 'delete', 'story', 'itu', 'di', 'kita', 'bisa', 'tetap', 'kelihatan', 'tapi', 'ada', 'tandanya', 'sudah', 'dihapus', 'ada', 'settingannya', 'di', 'app', 'nya', 'goks', 'wa', 'gb', 'flashback', 'gwe']","['wa', 'gb', 'sejenisnya', 'gua', 'memakai', 'jenis', 'memakai', 'kalo', 'orang', 'delete', 'message', 'delete', 'story', 'tandanya', 'dihapus', 'settingannya', 'app', 'nya', 'goks', 'wa', 'gb', 'flashback', 'gwe']"
ketawa di menit 37:27 - 37:33,ketawa di menit 37:27 - 37:33,ketawa di menit,ketawa di menit,"['ketawa', 'di', 'menit']","['ketawa', 'menit']"
"Kasus Bjorka karena kasus Dewi Vatikan, tuh  ?","kasus bjorka karena kasus dewi vatikan, tuh  ?",kasus bjorka karena kasus dewi vatikan tuh,kasus bjorka karena kasus dewi vatikan tuh,"['kasus', 'bjorka', 'karena', 'kasus', 'dewi', 'vatikan', 'tuh']","['bjorka', 'dewi', 'vatikan', 'tuh']"
Seorang polisi menangkap penjahat lalu diperlakukan dengan kejam. Setelah diinterogasi lalu otaknya diambil untuk dijadikan akal menangkap penjahat.,seorang polisi menangkap penjahat lalu diperlakukan dengan kejam. setelah diinterogasi lalu otaknya diambil untuk dijadikan akal menangkap penjahat.,seorang polisi menangkap penjahat lalu diperlakukan dengan kejam setelah diinterogasi lalu otaknya diambil untuk dijadikan akal menangkap penjahat,seorang polisi menangkap penjahat lalu diperlakukan dengan kejam setelah diinterogasi lalu otaknya diambil untuk dijadikan akal menangkap penjahat,"['seorang', 'polisi', 'menangkap', 'penjahat', 'lalu', 'diperlakukan', 'dengan', 'kejam', 'setelah', 'diinterogasi', 'lalu', 'otaknya', 'diambil', 'untuk', 'dijadikan', 'akal', 'menangkap', 'penjahat']","['polisi', 'menangkap', 'penjahat', 'diperlakukan', 'kejam', 'diinterogasi', 'otaknya', 'diambil', 'dijadikan', 'akal', 'menangkap', 'penjahat']"
"Sampai sekarang aku masih bingung, siapa nama dokter perempuan di RS. Royal prima yang judes itu  ?","sampai sekarang aku masih bingung, siapa nama dokter perempuan di rs. royal prima yang judes itu  ?",sampai sekarang aku masih bingung siapa nama dokter perempuan di rs royal prima yang judes itu,sampai sekarang aku masih bingung siapa nama dokter perempuan di rs royal prima yang judes itu,"['sampai', 'sekarang', 'aku', 'masih', 'bingung', 'siapa', 'nama', 'dokter', 'perempuan', 'di', 'rs', 'royal', 'prima', 'yang', 'judes', 'itu']","['bingung', 'nama', 'dokter', 'perempuan', 'rs', 'royal', 'prima', 'judes']"
"Anak punk, apaan sih   ?","anak punk, apaan sih   ?",anak punk apaan sih,anak punk apaan sih,"['anak', 'punk', 'apaan', 'sih']","['anak', 'punk', 'sih']"
Gimana masuk surga jika disangkain naksir...,gimana masuk surga jika disangkain naksir...,gimana masuk surga jika disangkain naksir,bagaimana masuk surga jika disangkain menaksir,"['bagaimana', 'masuk', 'surga', 'jika', 'disangkain', 'menaksir']","['masuk', 'surga', 'disangkain', 'menaksir']"
Bjorka  ? Saya  ?,bjorka  ? saya  ?,bjorka saya,bjorka saya,"['bjorka', 'saya']",['bjorka']
"29:28 Namanya waktu itu Ngotot ingin 2 Priode dan Sampai Menghalalkan Segala Cara Masa Harus Dibongkar  Sama anak Sumatra😂
Kan Malu geng Mulyono","29:28 namanya waktu itu ngotot ingin 2 priode dan sampai menghalalkan segala cara masa harus dibongkar  sama anak sumatra😂
kan malu geng mulyono",namanya waktu itu ngotot ingin priode dan sampai menghalalkan segala cara masa harus dibongkar sama anak sumatra kan malu geng mulyono,namanya waktu itu ngotot ingin priode dan sampai menghalalkan segala cara masa harus dibongkar sama anak sumatra kan malu geng mulyono,"['namanya', 'waktu', 'itu', 'ngotot', 'ingin', 'priode', 'dan', 'sampai', 'menghalalkan', 'segala', 'cara', 'masa', 'harus', 'dibongkar', 'sama', 'anak', 'sumatra', 'kan', 'malu', 'geng', 'mulyono']","['namanya', 'ngotot', 'priode', 'menghalalkan', 'dibongkar', 'anak', 'sumatra', 'malu', 'geng', 'mulyono']"
"Maaf izin bertanya om ded.
Untuk Skema iklan Scam (LEGAL) Pulsa Pada Tahun 2000 ann dulu yang Yang Om IKUT terkait dengan Skema itu , apakah om sudah tahu tujuan nya om terkait MENJALANKAN iklan rersebut? 
Yaitu : Ketik RAMAL spasi Nama Anda Kirim ke 9090","maaf izin bertanya om ded.
untuk skema iklan scam (legal) pulsa pada tahun 2000 ann dulu yang yang om ikut terkait dengan skema itu , apakah om sudah tahu tujuan nya om terkait menjalankan iklan rersebut? 
yaitu : ketik ramal spasi nama anda kirim ke 9090",maaf izin bertanya om ded untuk skema iklan scam legal pulsa pada tahun ann dulu yang yang om ikut terkait dengan skema itu apakah om sudah tahu tujuan nya om terkait menjalankan iklan rersebut yaitu ketik ramal spasi nama anda kirim ke,maaf izin bertanya om ded untuk skema iklan scam legal pulsa pada tahun ann dulu yang yang om ikut terkait dengan skema itu apakah om sudah tahu tujuan nya om terkait menjalankan iklan rersebut yaitu ketik ramal spasi nama anda kirim ke,"['maaf', 'izin', 'bertanya', 'om', 'ded', 'untuk', 'skema', 'iklan', 'scam', 'legal', 'pulsa', 'pada', 'tahun', 'ann', 'dulu', 'yang', 'yang', 'om', 'ikut', 'terkait', 'dengan', 'skema', 'itu', 'apakah', 'om', 'sudah', 'tahu', 'tujuan', 'nya', 'om', 'terkait', 'menjalankan', 'iklan', 'rersebut', 'yaitu', 'ketik', 'ramal', 'spasi', 'nama', 'anda', 'kirim', 'ke']","['maaf', 'izin', 'om', 'ded', 'skema', 'iklan', 'scam', 'legal', 'pulsa', 'ann', 'om', 'terkait', 'skema', 'om', 'tujuan', 'nya', 'om', 'terkait', 'menjalankan', 'iklan', 'rersebut', 'ketik', 'ramal', 'spasi', 'nama', 'kirim']"
Jadi KOMINFO masuk ini,jadi kominfo masuk ini,jadi kominfo masuk ini,jadi kominfo masuk ini,"['jadi', 'kominfo', 'masuk', 'ini']","['kominfo', 'masuk']"
Bjorka di luar negri tertawa melihat ini😂😂😂😂,bjorka di luar negri tertawa melihat ini😂😂😂😂,bjorka di luar negri tertawa melihat ini,bjorka di luar negeri tertawa melihat ini,"['bjorka', 'di', 'luar', 'negeri', 'tertawa', 'melihat', 'ini']","['bjorka', 'negeri', 'tertawa']"
hacker tolong dong bobol ATM para pejabat biar rakyat tau darimana dia dapat pendapatan.,hacker tolong dong bobol atm para pejabat biar rakyat tau darimana dia dapat pendapatan.,hacker tolong dong bobol atm para pejabat biar rakyat tau darimana dia dapat pendapatan,hacker tolong dong bobol atm para pejabat biar rakyat tau darimana dia dapat pendapatan,"['hacker', 'tolong', 'dong', 'bobol', 'atm', 'para', 'pejabat', 'biar', 'rakyat', 'tau', 'darimana', 'dia', 'dapat', 'pendapatan']","['hacker', 'tolong', 'bobol', 'atm', 'pejabat', 'biar', 'rakyat', 'tau', 'darimana', 'pendapatan']"
"Kalo negeri ini masih banyak pencoleng dan tikusnya biarkan aja Bjorka hidup dan ngga terungkap, sebagai kontrol sosial, siap siap aja tikus pengerat uang rakyat itu terungkap","kalo negeri ini masih banyak pencoleng dan tikusnya biarkan aja bjorka hidup dan ngga terungkap, sebagai kontrol sosial, siap siap aja tikus pengerat uang rakyat itu terungkap",kalo negeri ini masih banyak pencoleng dan tikusnya biarkan aja bjorka hidup dan ngga terungkap sebagai kontrol sosial siap siap aja tikus pengerat uang rakyat itu terungkap,kalo negeri ini masih banyak pencoleng dan tikusnya biarkan saja bjorka hidup dan enggak terungkap sebagai kontrol sosial siap siap saja tikus pengerat uang rakyat itu terungkap,"['kalo', 'negeri', 'ini', 'masih', 'banyak', 'pencoleng', 'dan', 'tikusnya', 'biarkan', 'saja', 'bjorka', 'hidup', 'dan', 'enggak', 'terungkap', 'sebagai', 'kontrol', 'sosial', 'siap', 'siap', 'saja', 'tikus', 'pengerat', 'uang', 'rakyat', 'itu', 'terungkap']","['kalo', 'negeri', 'pencoleng', 'tikusnya', 'biarkan', 'bjorka', 'hidup', 'terungkap', 'kontrol', 'sosial', 'tikus', 'pengerat', 'uang', 'rakyat', 'terungkap']"
Bner bg... Polisi tau apa...,bner bg... polisi tau apa...,bner bg polisi tau apa,benar bang polisi tau apa,"['benar', 'bang', 'polisi', 'tau', 'apa']","['bang', 'polisi', 'tau']"
Heacker ko mau diwawancarai si kan kasihan heacker lainnya😂,heacker ko mau diwawancarai si kan kasihan heacker lainnya😂,heacker ko mau diwawancarai si kan kasihan heacker lainnya,heacker kok mau diwawancarai sih kan kasihan heacker lainnya,"['heacker', 'kok', 'mau', 'diwawancarai', 'sih', 'kan', 'kasihan', 'heacker', 'lainnya']","['heacker', 'diwawancarai', 'sih', 'kasihan', 'heacker']"
"Polisi India cuma nangkap Shabu untuk dijual dan dipakai lagi, mana bisa nangkap tuannTakur","polisi india cuma nangkap shabu untuk dijual dan dipakai lagi, mana bisa nangkap tuanntakur",polisi india cuma nangkap shabu untuk dijual dan dipakai lagi mana bisa nangkap tuanntakur,polisi india cuma nangkap shabu untuk dijual dan dipakai lagi mana bisa nangkap tuanntakur,"['polisi', 'india', 'cuma', 'nangkap', 'shabu', 'untuk', 'dijual', 'dan', 'dipakai', 'lagi', 'mana', 'bisa', 'nangkap', 'tuanntakur']","['polisi', 'india', 'nangkap', 'shabu', 'dijual', 'dipakai', 'nangkap', 'tuanntakur']"
Bjorka udah dipihak purbaya 😅,bjorka udah dipihak purbaya 😅,bjorka udah dipihak purbaya,bjorka sudah dipihak purbaya,"['bjorka', 'sudah', 'dipihak', 'purbaya']","['bjorka', 'dipihak', 'purbaya']"
"Awal video g lgsg d tampilin orangnya... denger suara, kyak tau suara orang ini. Eeeeeeee d menit ke 2, lah.... kan orang ini barusan ku tonton ttng video thn lalu. Pantes aja sama. Gaya bicara jg sama... oalah... mas teguh.... mas teguh.... 😂","awal video g lgsg d tampilin orangnya... denger suara, kyak tau suara orang ini. eeeeeeee d menit ke 2, lah.... kan orang ini barusan ku tonton ttng video thn lalu. pantes aja sama. gaya bicara jg sama... oalah... mas teguh.... mas teguh.... 😂",awal video g lgsg d tampilin orangnya denger suara kyak tau suara orang ini eeeeeeee d menit ke lah kan orang ini barusan ku tonton ttng video thn lalu pantes aja sama gaya bicara jg sama oalah mas teguh mas teguh,awal video enggak langsung di tampilin orangnya dengar suara kayak tau suara orang ini eeeeeeee di menit ke lah kan orang ini barusan ku tonton ttng video tahun lalu pantas saja sama gaya bicara juga sama oalah mas teguh mas teguh,"['awal', 'video', 'enggak', 'langsung', 'di', 'tampilin', 'orangnya', 'dengar', 'suara', 'kayak', 'tau', 'suara', 'orang', 'ini', 'eeeeeeee', 'di', 'menit', 'ke', 'lah', 'kan', 'orang', 'ini', 'barusan', 'ku', 'tonton', 'ttng', 'video', 'tahun', 'lalu', 'pantas', 'saja', 'sama', 'gaya', 'bicara', 'juga', 'sama', 'oalah', 'mas', 'teguh', 'mas', 'teguh']","['video', 'langsung', 'tampilin', 'orangnya', 'dengar', 'suara', 'kayak', 'tau', 'suara', 'orang', 'eeeeeeee', 'menit', 'orang', 'barusan', 'ku', 'tonton', 'ttng', 'video', 'gaya', 'bicara', 'oalah', 'mas', 'teguh', 'mas', 'teguh']"
admin pekalongan cheater😂,admin pekalongan cheater😂,admin pekalongan cheater,admin pekalongan cheater,"['admin', 'pekalongan', 'cheater']","['admin', 'pekalongan', 'cheater']"
Gua heran kok ada orang tua yang mau anaknya untuk jadi polisi,gua heran kok ada orang tua yang mau anaknya untuk jadi polisi,gua heran kok ada orang tua yang mau anaknya untuk jadi polisi,gua heran kok ada orang tua yang mau anaknya untuk jadi polisi,"['gua', 'heran', 'kok', 'ada', 'orang', 'tua', 'yang', 'mau', 'anaknya', 'untuk', 'jadi', 'polisi']","['gua', 'heran', 'orang', 'tua', 'anaknya', 'polisi']"
Hallo,hallo,hallo,halo,['halo'],['halo']
kocak bang🤣,kocak bang🤣,kocak bang,kocak bang,"['kocak', 'bang']","['kocak', 'bang']"
Well. Unics 🙂,well. unics 🙂,well unics,well unics,"['well', 'unics']","['well', 'unics']"
"Ga ngaku d pukuli, ya mau gimana gesz ga ada pilihan wkwk😂, ladusing mah bebas","ga ngaku d pukuli, ya mau gimana gesz ga ada pilihan wkwk😂, ladusing mah bebas",ga ngaku d pukuli ya mau gimana gesz ga ada pilihan wkwk ladusing mah bebas,enggak mengaku di pukuli ya mau bagaimana gesz enggak ada pilihan wkwk ladusing mah bebas,"['enggak', 'mengaku', 'di', 'pukuli', 'ya', 'mau', 'bagaimana', 'gesz', 'enggak', 'ada', 'pilihan', 'wkwk', 'ladusing', 'mah', 'bebas']","['mengaku', 'pukuli', 'ya', 'gesz', 'pilihan', 'wkwk', 'ladusing', 'mah', 'bebas']"
"Gua yakin klo ada hacker dri luar negri tinggal di indo gak akan ke tangkep 😂😂😂😂 krna polisinya sangat beda jauh dngan polisi luar

Dan buat kalian para hacker hati2 di podcast om ded krna ini bagian dri strategi aparat juga untk menggali informasi, siapa tau keceplosan tentang si bjorka","gua yakin klo ada hacker dri luar negri tinggal di indo gak akan ke tangkep 😂😂😂😂 krna polisinya sangat beda jauh dngan polisi luar

dan buat kalian para hacker hati2 di podcast om ded krna ini bagian dri strategi aparat juga untk menggali informasi, siapa tau keceplosan tentang si bjorka",gua yakin klo ada hacker dri luar negri tinggal di indo gak akan ke tangkep krna polisinya sangat beda jauh dngan polisi luar dan buat kalian para hacker hati di podcast om ded krna ini bagian dri strategi aparat juga untk menggali informasi siapa tau keceplosan tentang si bjorka,gua yakin kalo ada hacker dari luar negeri tinggal di indonesia enggak akan ke tangkap karena polisinya sangat beda jauh dengan polisi luar dan buat kalian para hacker hati di podcast om ded karena ini bagian dari strategi aparat juga untuk menggali informasi siapa tau keceplosan tentang sih bjorka,"['gua', 'yakin', 'kalo', 'ada', 'hacker', 'dari', 'luar', 'negeri', 'tinggal', 'di', 'indonesia', 'enggak', 'akan', 'ke', 'tangkap', 'karena', 'polisinya', 'sangat', 'beda', 'jauh', 'dengan', 'polisi', 'luar', 'dan', 'buat', 'kalian', 'para', 'hacker', 'hati', 'di', 'podcast', 'om', 'ded', 'karena', 'ini', 'bagian', 'dari', 'strategi', 'aparat', 'juga', 'untuk', 'menggali', 'informasi', 'siapa', 'tau', 'keceplosan', 'tentang', 'sih', 'bjorka']","['gua', 'kalo', 'hacker', 'negeri', 'tinggal', 'indonesia', 'tangkap', 'polisinya', 'beda', 'polisi', 'hacker', 'hati', 'podcast', 'om', 'ded', 'strategi', 'aparat', 'menggali', 'informasi', 'tau', 'keceplosan', 'sih', 'bjorka']"
"ENAKAN NONTON BEJO RKA BERAKSI , NIKMATIN AJA TONTONAN🤤","enakan nonton bejo rka beraksi , nikmatin aja tontonan🤤",enakan nonton bejo rka beraksi nikmatin aja tontonan,enakan menonton bejo rka beraksi menikmati saja tontonan,"['enakan', 'menonton', 'bejo', 'rka', 'beraksi', 'menikmati', 'saja', 'tontonan']","['enakan', 'menonton', 'bejo', 'rka', 'beraksi', 'menikmati', 'tontonan']"
"Hacker adalah pengamat teknologi selaku penikmat teknologi dan penipu yg handal. 
Tujuannya macem2, celahnya macem2 dan dalan dunia hacker juga kode etiknya 😂","hacker adalah pengamat teknologi selaku penikmat teknologi dan penipu yg handal. 
tujuannya macem2, celahnya macem2 dan dalan dunia hacker juga kode etiknya 😂",hacker adalah pengamat teknologi selaku penikmat teknologi dan penipu yg handal tujuannya macem celahnya macem dan dalan dunia hacker juga kode etiknya,hacker adalah pengamat teknologi selaku penikmat teknologi dan penipu yang handal tujuannya macam celahnya macam dan dalan dunia hacker juga kode etiknya,"['hacker', 'adalah', 'pengamat', 'teknologi', 'selaku', 'penikmat', 'teknologi', 'dan', 'penipu', 'yang', 'handal', 'tujuannya', 'macam', 'celahnya', 'macam', 'dan', 'dalan', 'dunia', 'hacker', 'juga', 'kode', 'etiknya']","['hacker', 'pengamat', 'teknologi', 'penikmat', 'teknologi', 'penipu', 'handal', 'tujuannya', 'celahnya', 'dalan', 'dunia', 'hacker', 'kode', 'etiknya']"
#<eror>,#<eror>,eror,eror,['eror'],['eror']
wkwk suaranya teguh,wkwk suaranya teguh,wkwk suaranya teguh,wkwk suaranya teguh,"['wkwk', 'suaranya', 'teguh']","['wkwk', 'suaranya', 'teguh']"
"Bisa tolong bantu kasus penipuan sekarang tidak pak, saya habis rugi hampir 3* juta karena khilaf, sudah ke OJK tapi tidak ada jalan, belum ke bank rekening yang saya transfer 

Bank2nya 
BRI_001901136860501_Susanto
BRI_0019 0113 6352 508_ERMA NINGSIH
BNI_ 1983016301_Teddy Abdurahman
Aladin syariah_Rikal Mahmud
Aladin syariah_ Kiki Sandra _ 50061988577
Mohon bantuannya kalau memang qodar uang saya tidak bisa dikembalikan, mohon bantu agar tidak ada korban lagi 🙏🙏 terima kasih bang","bisa tolong bantu kasus penipuan sekarang tidak pak, saya habis rugi hampir 3* juta karena khilaf, sudah ke ojk tapi tidak ada jalan, belum ke bank rekening yang saya transfer 

bank2nya 
bri_001901136860501_susanto
bri_0019 0113 6352 508_erma ningsih
bni_ 1983016301_teddy abdurahman
aladin syariah_rikal mahmud
aladin syariah_ kiki sandra _ 50061988577
mohon bantuannya kalau memang qodar uang saya tidak bisa dikembalikan, mohon bantu agar tidak ada korban lagi 🙏🙏 terima kasih bang",bisa tolong bantu kasus penipuan sekarang tidak pak saya habis rugi hampir juta karena khilaf sudah ke ojk tapi tidak ada jalan belum ke bank rekening yang saya transfer banknya brisusanto bri erma ningsih bni teddy abdurahman aladin syariahrikal mahmud aladin syariah kiki sandra mohon bantuannya kalau memang qodar uang saya tidak bisa dikembalikan mohon bantu agar tidak ada korban lagi terima kasih bang,bisa tolong bantu kasus penipuan sekarang tidak pak saya habis rugi hampir juta karena khilaf sudah ke ojk tapi tidak ada jalan belum ke bank rekening yang saya transfer banknya brisusanto bri erma ningsih bni teddy abdurahman aladin syariahrikal mahmud aladin syariah kiki sandra mohon bantuannya kalau memang qodar uang saya tidak bisa dikembalikan mohon bantu agar tidak ada korban lagi terima kasih bang,"['bisa', 'tolong', 'bantu', 'kasus', 'penipuan', 'sekarang', 'tidak', 'pak', 'saya', 'habis', 'rugi', 'hampir', 'juta', 'karena', 'khilaf', 'sudah', 'ke', 'ojk', 'tapi', 'tidak', 'ada', 'jalan', 'belum', 'ke', 'bank', 'rekening', 'yang', 'saya', 'transfer', 'banknya', 'brisusanto', 'bri', 'erma', 'ningsih', 'bni', 'teddy', 'abdurahman', 'aladin', 'syariahrikal', 'mahmud', 'aladin', 'syariah', 'kiki', 'sandra', 'mohon', 'bantuannya', 'kalau', 'memang', 'qodar', 'uang', 'saya', 'tidak', 'bisa', 'dikembalikan', 'mohon', 'bantu', 'agar', 'tidak', 'ada', 'korban', 'lagi', 'terima', 'kasih', 'bang']","['tolong', 'bantu', 'penipuan', 'habis', 'rugi', 'juta', 'khilaf', 'ojk', 'jalan', 'bank', 'rekening', 'transfer', 'banknya', 'brisusanto', 'bri', 'erma', 'ningsih', 'bni', 'teddy', 'abdurahman', 'aladin', 'syariahrikal', 'mahmud', 'aladin', 'syariah', 'kiki', 'sandra', 'mohon', 'bantuannya', 'qodar', 'uang', 'dikembalikan', 'mohon', 'bantu', 'korban', 'terima', 'kasih', 'bang']"
"Klo masyarakat sipil seperti diriku ini, minta bantuan bang hacker ini, bayar berapa ya ?😅","klo masyarakat sipil seperti diriku ini, minta bantuan bang hacker ini, bayar berapa ya ?😅",klo masyarakat sipil seperti diriku ini minta bantuan bang hacker ini bayar berapa ya,kalo masyarakat sipil seperti diriku ini meminta bantuan bang hacker ini bayar berapa ya,"['kalo', 'masyarakat', 'sipil', 'seperti', 'diriku', 'ini', 'meminta', 'bantuan', 'bang', 'hacker', 'ini', 'bayar', 'berapa', 'ya']","['kalo', 'masyarakat', 'sipil', 'diriku', 'bantuan', 'bang', 'hacker', 'bayar', 'ya']"
