Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.58603066439523,0.6580085297073732,0.58603066439523,0.5382888446000899
SVM,0.7657580919931857,0.7784451894095944,0.7657580919931857,0.7670958669981346
